date_key,date,year,quarter,month,month_name,day,weekday_name,is_weekend
20160904,2016-09-04,2016,3,9,September,4,Sunday,True
20160905,2016-09-05,2016,3,9,September,5,Monday,False
20160915,2016-09-15,2016,3,9,September,15,Thursday,False
20161002,2016-10-02,2016,4,10,October,2,Sunday,True
20161003,2016-10-03,2016,4,10,October,3,Monday,False
20161004,2016-10-04,2016,4,10,October,4,Tuesday,False
20161005,2016-10-05,2016,4,10,October,5,Wednesday,False
20161006,2016-10-06,2016,4,10,October,6,Thursday,False
20161007,2016-10-07,2016,4,10,October,7,Friday,False
20161008,2016-10-08,2016,4,10,October,8,Saturday,True
20161009,2016-10-09,2016,4,10,October,9,Sunday,True
20161010,2016-10-10,2016,4,10,October,10,Monday,False
20161223,2016-12-23,2016,4,12,December,23,Friday,False
20170105,2017-01-05,2017,1,1,January,5,Thursday,False
20170106,2017-01-06,2017,1,1,January,6,Friday,False
20170107,2017-01-07,2017,1,1,January,7,Saturday,True
20170108,2017-01-08,2017,1,1,January,8,Sunday,True
20170109,2017-01-09,2017,1,1,January,9,Monday,False
20170110,2017-01-10,2017,1,1,January,10,Tuesday,False
20170111,2017-01-11,2017,1,1,January,11,Wednesday,False
20170112,2017-01-12,2017,1,1,January,12,Thursday,False
20170113,2017-01-13,2017,1,1,January,13,Friday,False
20170114,2017-01-14,2017,1,1,January,14,Saturday,True
20170115,2017-01-15,2017,1,1,January,15,Sunday,True
20170116,2017-01-16,2017,1,1,January,16,Monday,False
20170117,2017-01-17,2017,1,1,January,17,Tuesday,False
20170118,2017-01-18,2017,1,1,January,18,Wednesday,False
20170119,2017-01-19,2017,1,1,January,19,Thursday,False
20170120,2017-01-20,2017,1,1,January,20,Friday,False
20170121,2017-01-21,2017,1,1,January,21,Saturday,True
20170122,2017-01-22,2017,1,1,January,22,Sunday,True
20170123,2017-01-23,2017,1,1,January,23,Monday,False
20170124,2017-01-24,2017,1,1,January,24,Tuesday,False
20170125,2017-01-25,2017,1,1,January,25,Wednesday,False
20170126,2017-01-26,2017,1,1,January,26,Thursday,False
20170127,2017-01-27,2017,1,1,January,27,Friday,False
20170128,2017-01-28,2017,1,1,January,28,Saturday,True
20170129,2017-01-29,2017,1,1,January,29,Sunday,True
20170130,2017-01-30,2017,1,1,January,30,Monday,False
20170131,2017-01-31,2017,1,1,January,31,Tuesday,False
20170201,2017-02-01,2017,1,2,February,1,Wednesday,False
20170202,2017-02-02,2017,1,2,February,2,Thursday,False
20170203,2017-02-03,2017,1,2,February,3,Friday,False
20170204,2017-02-04,2017,1,2,February,4,Saturday,True
20170205,2017-02-05,2017,1,2,February,5,Sunday,True
20170206,2017-02-06,2017,1,2,February,6,Monday,False
20170207,2017-02-07,2017,1,2,February,7,Tuesday,False
20170208,2017-02-08,2017,1,2,February,8,Wednesday,False
20170209,2017-02-09,2017,1,2,February,9,Thursday,False
20170210,2017-02-10,2017,1,2,February,10,Friday,False
20170211,2017-02-11,2017,1,2,February,11,Saturday,True
20170212,2017-02-12,2017,1,2,February,12,Sunday,True
20170213,2017-02-13,2017,1,2,February,13,Monday,False
20170214,2017-02-14,2017,1,2,February,14,Tuesday,False
20170215,2017-02-15,2017,1,2,February,15,Wednesday,False
20170216,2017-02-16,2017,1,2,February,16,Thursday,False
20170217,2017-02-17,2017,1,2,February,17,Friday,False
20170218,2017-02-18,2017,1,2,February,18,Saturday,True
20170219,2017-02-19,2017,1,2,February,19,Sunday,True
20170220,2017-02-20,2017,1,2,February,20,Monday,False
20170221,2017-02-21,2017,1,2,February,21,Tuesday,False
20170222,2017-02-22,2017,1,2,February,22,Wednesday,False
20170223,2017-02-23,2017,1,2,February,23,Thursday,False
20170224,2017-02-24,2017,1,2,February,24,Friday,False
20170225,2017-02-25,2017,1,2,February,25,Saturday,True
20170226,2017-02-26,2017,1,2,February,26,Sunday,True
20170227,2017-02-27,2017,1,2,February,27,Monday,False
20170228,2017-02-28,2017,1,2,February,28,Tuesday,False
20170301,2017-03-01,2017,1,3,March,1,Wednesday,False
20170302,2017-03-02,2017,1,3,March,2,Thursday,False
20170303,2017-03-03,2017,1,3,March,3,Friday,False
20170304,2017-03-04,2017,1,3,March,4,Saturday,True
20170305,2017-03-05,2017,1,3,March,5,Sunday,True
20170306,2017-03-06,2017,1,3,March,6,Monday,False
20170307,2017-03-07,2017,1,3,March,7,Tuesday,False
20170308,2017-03-08,2017,1,3,March,8,Wednesday,False
20170309,2017-03-09,2017,1,3,March,9,Thursday,False
20170310,2017-03-10,2017,1,3,March,10,Friday,False
20170311,2017-03-11,2017,1,3,March,11,Saturday,True
20170312,2017-03-12,2017,1,3,March,12,Sunday,True
20170313,2017-03-13,2017,1,3,March,13,Monday,False
20170314,2017-03-14,2017,1,3,March,14,Tuesday,False
20170315,2017-03-15,2017,1,3,March,15,Wednesday,False
20170316,2017-03-16,2017,1,3,March,16,Thursday,False
20170317,2017-03-17,2017,1,3,March,17,Friday,False
20170318,2017-03-18,2017,1,3,March,18,Saturday,True
20170319,2017-03-19,2017,1,3,March,19,Sunday,True
20170320,2017-03-20,2017,1,3,March,20,Monday,False
20170321,2017-03-21,2017,1,3,March,21,Tuesday,False
20170322,2017-03-22,2017,1,3,March,22,Wednesday,False
20170323,2017-03-23,2017,1,3,March,23,Thursday,False
20170324,2017-03-24,2017,1,3,March,24,Friday,False
20170325,2017-03-25,2017,1,3,March,25,Saturday,True
20170326,2017-03-26,2017,1,3,March,26,Sunday,True
20170327,2017-03-27,2017,1,3,March,27,Monday,False
20170328,2017-03-28,2017,1,3,March,28,Tuesday,False
20170329,2017-03-29,2017,1,3,March,29,Wednesday,False
20170330,2017-03-30,2017,1,3,March,30,Thursday,False
20170331,2017-03-31,2017,1,3,March,31,Friday,False
20170401,2017-04-01,2017,2,4,April,1,Saturday,True
20170402,2017-04-02,2017,2,4,April,2,Sunday,True
20170403,2017-04-03,2017,2,4,April,3,Monday,False
20170404,2017-04-04,2017,2,4,April,4,Tuesday,False
20170405,2017-04-05,2017,2,4,April,5,Wednesday,False
20170406,2017-04-06,2017,2,4,April,6,Thursday,False
20170407,2017-04-07,2017,2,4,April,7,Friday,False
20170408,2017-04-08,2017,2,4,April,8,Saturday,True
20170409,2017-04-09,2017,2,4,April,9,Sunday,True
20170410,2017-04-10,2017,2,4,April,10,Monday,False
20170411,2017-04-11,2017,2,4,April,11,Tuesday,False
20170412,2017-04-12,2017,2,4,April,12,Wednesday,False
20170413,2017-04-13,2017,2,4,April,13,Thursday,False
20170414,2017-04-14,2017,2,4,April,14,Friday,False
20170415,2017-04-15,2017,2,4,April,15,Saturday,True
20170416,2017-04-16,2017,2,4,April,16,Sunday,True
20170417,2017-04-17,2017,2,4,April,17,Monday,False
20170418,2017-04-18,2017,2,4,April,18,Tuesday,False
20170419,2017-04-19,2017,2,4,April,19,Wednesday,False
20170420,2017-04-20,2017,2,4,April,20,Thursday,False
20170421,2017-04-21,2017,2,4,April,21,Friday,False
20170422,2017-04-22,2017,2,4,April,22,Saturday,True
